category,condition,page_url,image_url,index,status
Liver & Biliary,Cholecystitis,https://radiopaedia.org/articles/acute-cholecystitis,https://prod-images-static.radiopaedia.org/images/563838/e5ee1d74f78a815f4d287ff26409f2_big_gallery.jpg,2,ok
Liver & Biliary,Cholecystitis,https://radiopaedia.org/articles/acute-cholecystitis,https://prod-images-static.radiopaedia.org/images/563856/a61a99793f19cdb0f19d515a8466fd_big_gallery.jpg,3,ok
Liver & Biliary,Gallstones,,,,not_found
Liver & Biliary,Choledocholithiasis,https://radiopaedia.org/articles/choledocholithiasis,https://prod-images-static.radiopaedia.org/images/156724/8b51342ff676bb2886750ba461ae1f_gallery.jpg,1,ok
Liver & Biliary,Choledocholithiasis,https://radiopaedia.org/articles/choledocholithiasis,https://prod-images-static.radiopaedia.org/images/156724/8b51342ff676bb2886750ba461ae1f_big_gallery.jpg,2,ok
Liver & Biliary,Choledocholithiasis,https://radiopaedia.org/articles/choledocholithiasis,https://prod-images-static.radiopaedia.org/images/597090/fb776fad141c861541f0702defcdde_big_gallery.jpg,3,ok
Liver & Biliary,Biliary obstruction,,,,not_found
Gastrointestinal,Appendicitis,,,,not_found
Gastrointestinal,Bowel obstruction,https://radiopaedia.org/articles/small-bowel-obstruction,https://prod-images-static.radiopaedia.org/images/1625714/4968e6dcd3cd3388e77ac435ad0152_gallery.JPG,1,ok
Gastrointestinal,Bowel obstruction,https://radiopaedia.org/articles/small-bowel-obstruction,https://prod-images-static.radiopaedia.org/images/1625714/4968e6dcd3cd3388e77ac435ad0152_big_gallery.JPG,2,ok
Gastrointestinal,Bowel obstruction,https://radiopaedia.org/articles/small-bowel-obstruction,https://prod-images-static.radiopaedia.org/images/11381359/162fb46ddb2b9f97b0a8d5f1ee7272_big_gallery.jpg,3,ok
Gastrointestinal,Diverticulitis,,,,not_found
Gastrointestinal,Pneumoperitoneum,https://radiopaedia.org/articles/pneumoperitoneum,https://prod-images-static.radiopaedia.org/images/24465/6dac68ce10cab3c0605e8fe86733b7_gallery.jpeg,1,ok
Gastrointestinal,Pneumoperitoneum,https://radiopaedia.org/articles/pneumoperitoneum,https://prod-images-static.radiopaedia.org/images/24465/6dac68ce10cab3c0605e8fe86733b7_big_gallery.jpeg,2,ok
Gastrointestinal,Pneumoperitoneum,https://radiopaedia.org/articles/pneumoperitoneum,https://prod-images-static.radiopaedia.org/images/15094/cc00ef2b1cc452c017c18fe6821135_big_gallery.jpeg,3,ok
Gastrointestinal,Esophageal cancer,,,,not_found
Gastrointestinal,Gastric cancer,,,,not_found
Gastrointestinal,Colon cancer,,,,not_found
Gastrointestinal,Crohn's disease,,,,not_found
Gastrointestinal,Ulcerative colitis,https://radiopaedia.org/articles/ulcerative-colitis,https://prod-images-static.radiopaedia.org/images/1578441/fe55d701d08e58dab467a8f975295d_gallery.jpg,1,ok
Gastrointestinal,Ulcerative colitis,https://radiopaedia.org/articles/ulcerative-colitis,https://prod-images-static.radiopaedia.org/images/1578441/fe55d701d08e58dab467a8f975295d_big_gallery.jpg,2,ok
Gastrointestinal,Ulcerative colitis,https://radiopaedia.org/articles/ulcerative-colitis,https://prod-images-static.radiopaedia.org/images/24800/eef03b2d007a2e191bcb3e514dfcfa_big_gallery.jpeg,3,ok
Gastrointestinal,Intussusception,https://radiopaedia.org/articles/intussusception,https://prod-images-static.radiopaedia.org/images/3021591/5bf2f09304eb95649221f428898fbd_gallery.JPG,1,ok
Gastrointestinal,Intussusception,https://radiopaedia.org/articles/intussusception,https://prod-images-static.radiopaedia.org/images/3021591/5bf2f09304eb95649221f428898fbd_big_gallery.JPG,2,ok
Gastrointestinal,Intussusception,https://radiopaedia.org/articles/intussusception,https://prod-images-static.radiopaedia.org/images/55801502/Stool_big_gallery.jpeg,3,ok
Gastrointestinal,Volvulus,https://radiopaedia.org/articles/sigmoid-volvulus,https://prod-images-static.radiopaedia.org/images/52635709/65756cc47e49a1d1b6f2d698e42d1ec4e9aa0ac4be4f60496feef04284ccf164_gallery.jpeg,1,ok
